Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Software Development Engineer,Hyderabad/Secunderabad,Full Time,Software Development Department,8 Aug 2023,2.0,1.0,2.0,5.0,1.0,3.0,3.0,The office is great and you have best in industry compensation.,"Worst work life balance.
The managers have to ask you to work at least 10 hrs a day and the work 12. 
Your performance is measured against the team so if everyone is working 12 hours and you can work 8 you will always be the bottom performer. 
Promotions are project based so if your.projects gets halted for any reason not you own so does your promotion."
Dls Case Specialist II HR Assistant,Hyderabad/Secunderabad,Full Time,HR Operations Department,8 Aug 2023,1.0,5.0,1.0,3.0,1.0,2.0,1.0,Good work life balance and team building exercises.,No job security. They will cut you out any-day anytime based on their business requirements and your performance won’t even gonna matter to them .
Customer Support Associate   (working remotely),,Full Time,Customer Success Department,8 Aug 2023,1.0,2.0,1.0,2.0,1.0,2.0,3.0,"good about this company, provides virtual roles","this company is really bad , no job security , the HR they have i guess not well educated that is why what company does, won't tell you at the time of offer letter that and after 3 weeks training they take your interview once again on the basis of comm skills , taken by comm skills trainer and trainer are taking this at personal level...and Sanajna oh god her fake accent is just killing you guys..com skills will be checked but there won't be any comm skills trainer during your trainer hahhahhaha imagine....don't go for this company...Read More"
Sds Associate   (working remotely),,Full Time,Non Voice Department,7 Aug 2023,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Leaves are there but more than policy it will be in your manager hands if they want to they will allow if not they will deny.,To be honest there are Many consumer team but the team we are working is worst and it's like salary is 1 rs and work and expectations are is for 1000 rs. Amazon was best earlier but now☹️
Software Developer,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,7 Aug 2023,4.0,3.0,4.0,5.0,3.0,4.0,3.0,"Amazon has high standard when it comes to running your services and applications in production. Developers are supposed to be the first line of defence in case of a mishap which allows them to work with senior product managers, senior technical product managers etc. which is a great learning experience.",Management layer has lot of redundancies.
Senior Associate -Supply Chain Operations-forecast And Operational Planning,Bengaluru/Bangalore,Full Time,Operations Department,6 Aug 2023,3.0,2.0,1.0,4.0,4.0,4.0,1.0,People from IIMs and ISBs only have the opportunity to grow.People from the local colleges were taken as associates and it takes years to get promoted for them.very slow growth for business Operations and non technical associates.,Less visibility for next level and promotions a at a point of time you feel stucked in the same place.
Regional Manager Ehs,New Delhi,Full Time,Occupational Health & Safety Department,6 Aug 2023,2.0,2.0,3.0,3.0,2.0,2.0,2.0,Amazon give opportunity for promoting your thoughts and experimenting them for betterment of business.,Amazon has adopted giving responsibility of Workplace heath and safety to Non qualified professional specifically in leadership positions. More over the Leader for APAC region himself have lot of biases he is not a natural leader. Also non qualified for safety.
Associate Executive,Noida,Full Time,Customer Success Department,4 Aug 2023,1.0,2.0,1.0,2.0,1.0,1.0,1.0,Nothing,It was a terrible experience working with amazon pay all the leadership and manager behave very badly with employees and threaten them for no reason they don’t even care about employee sentiment and satisfaction and they shows favouritism
Process Associate,"Raipur, Chhattisgarh",Full Time,Voice / Blended Department,4 Aug 2023,5.0,4.0,5.0,4.0,5.0,5.0,5.0,Amazon marketplace genuine customer service support team leader association talk with me support company operates believe support supply management application operations different suggest me with and manager operations management SUPPORT we good.,Logistics supply management application operations used for Team overall good knowledge of them. Dislikes other not this.
Manager,New Delhi,Full Time,Policy Department,3 Aug 2023,3.0,2.0,3.0,5.0,1.0,3.0,2.0,"Good pay, 6 pagers, focus on prioritisation and working backwards from the goal/ objective","Toxic culture (but that will depend on your team), hierarchical, questionable job security and appraisal process"
