iter	Passed	Remaining
0	60	24081
1	61	12208
2	62	8216
3	62	6221
4	63	5018
5	64	4218
6	64	3645
7	65	3217
8	66	2885
9	67	2620
10	67	2402
11	68	2218
12	69	2064
13	70	1933
14	70	1817
15	71	1716
16	72	1627
17	72	1548
18	73	1478
19	74	1413
20	75	1355
21	75	1302
22	76	1253
23	77	1208
24	77	1168
25	78	1130
26	79	1095
27	80	1064
28	80	1033
29	81	1004
30	82	978
31	83	955
32	83	932
33	84	913
34	86	896
35	86	877
36	87	858
37	88	840
38	88	822
39	89	806
40	90	793
41	91	778
42	92	764
43	92	752
44	93	738
45	94	726
46	95	713
47	95	702
48	96	690
49	97	680
50	97	670
51	98	658
52	99	648
53	99	639
54	100	630
55	101	621
56	102	613
57	102	606
58	103	599
59	104	592
60	105	584
61	105	577
62	106	572
63	107	565
64	108	559
65	109	552
66	109	546
67	110	541
68	111	535
69	112	529
70	113	523
71	113	518
72	114	512
73	115	508
74	116	503
75	116	498
76	117	492
77	118	488
78	118	483
79	119	478
80	120	474
81	121	470
82	122	466
83	122	462
84	123	458
85	124	453
86	124	449
87	125	445
88	126	441
89	127	438
90	127	434
91	128	430
92	129	426
93	130	423
94	130	420
95	131	416
96	132	413
97	133	410
98	133	406
99	134	404
100	135	400
101	136	397
102	137	395
103	137	392
104	138	388
105	139	386
106	140	383
107	140	380
108	141	377
109	142	374
110	142	372
111	143	369
112	144	366
113	145	363
114	145	361
115	146	358
116	147	355
117	147	353
118	148	350
119	149	348
120	150	345
121	150	343
122	151	341
123	152	338
124	152	336
125	153	333
126	154	331
127	155	329
128	155	327
129	156	325
130	157	322
131	157	320
132	158	318
133	159	316
134	160	314
135	160	312
136	161	309
137	162	307
138	162	305
139	163	303
140	164	301
141	164	299
142	165	297
143	166	295
144	167	294
145	167	292
146	168	290
147	169	288
148	170	286
149	170	284
150	171	282
151	172	281
152	173	280
153	174	278
154	175	276
155	175	274
156	176	273
157	177	271
158	177	269
159	178	267
160	179	266
161	179	264
162	181	263
163	182	261
164	182	260
165	183	258
166	184	257
167	185	255
168	185	254
169	186	252
170	187	250
171	188	249
172	188	247
173	189	246
174	190	244
175	191	243
176	192	242
177	192	240
178	193	238
179	194	237
180	194	235
181	195	234
182	196	233
183	197	231
184	198	230
185	198	228
186	199	227
187	200	225
188	200	224
189	201	222
190	202	221
191	203	220
192	204	218
193	204	217
194	205	216
195	206	214
196	207	213
197	207	211
198	208	210
199	209	209
200	209	207
201	210	206
202	211	205
203	212	203
204	212	202
205	213	201
206	214	199
207	215	198
208	215	197
209	216	195
210	217	194
211	217	193
212	218	191
213	219	190
214	219	189
215	220	188
216	221	186
217	222	185
218	223	184
219	223	183
220	224	181
221	225	180
222	226	179
223	226	178
224	227	177
225	228	175
226	229	174
227	229	173
228	230	172
229	231	170
230	231	169
231	232	168
232	233	167
233	234	166
234	234	164
235	235	163
236	236	162
237	237	161
238	237	160
239	238	158
240	239	157
241	239	156
242	240	155
243	241	154
244	242	153
245	243	152
246	243	151
247	244	150
248	245	148
249	246	147
250	247	146
251	247	145
252	248	144
253	249	143
254	249	142
255	250	140
256	251	139
257	252	138
258	252	137
259	253	136
260	254	135
261	255	134
262	255	133
263	256	132
264	257	131
265	257	129
266	258	128
267	259	127
268	260	126
269	260	125
270	261	124
271	262	123
272	262	122
273	263	121
274	264	120
275	265	119
276	266	118
277	266	117
278	267	116
279	268	115
280	269	113
281	269	112
282	270	111
283	271	110
284	271	109
285	272	108
286	273	107
287	274	106
288	274	105
289	275	104
290	276	103
291	276	102
292	277	101
293	278	100
294	279	99
295	279	98
296	280	97
297	281	96
298	282	95
299	282	94
300	283	93
301	284	92
302	285	91
303	286	90
304	286	89
305	287	88
306	288	87
307	288	86
308	289	85
309	290	84
310	291	83
311	291	82
312	292	81
313	293	80
314	294	79
315	294	78
316	295	77
317	296	76
318	297	75
319	297	74
320	298	73
321	299	72
322	299	71
323	300	70
324	301	69
325	301	68
326	302	67
327	303	66
328	304	65
329	304	64
330	305	63
331	306	62
332	306	61
333	307	60
334	308	59
335	309	58
336	309	57
337	310	56
338	311	56
339	311	55
340	312	54
341	313	53
342	314	52
343	314	51
344	315	50
345	316	49
346	317	48
347	317	47
348	318	46
349	319	45
350	320	44
351	320	43
352	321	42
353	322	41
354	323	40
355	323	40
356	324	39
357	325	38
358	326	37
359	326	36
360	327	35
361	328	34
362	329	33
363	330	32
364	330	31
365	331	30
366	332	29
367	332	28
368	333	28
369	334	27
370	335	26
371	336	25
372	337	24
373	337	23
374	338	22
375	339	21
376	340	20
377	341	19
378	342	18
379	343	18
380	343	17
381	344	16
382	345	15
383	346	14
384	346	13
385	347	12
386	348	11
387	349	10
388	349	9
389	350	8
390	351	8
391	351	7
392	352	6
393	353	5
394	353	4
395	354	3
396	355	2
397	356	1
398	356	0
399	357	0
